1.99573541	0.01501431
2.02559185	0.01493577
2.05544782	0.01485723
2.08530426	0.01485723
2.11516047	0.01470014
2.14501691	0.01470014
2.17487311	0.01462160
2.20472932	0.01462160
2.23458576	0.01462160
2.26444197	0.01462160
2.29429841	0.01462160
2.32415438	0.01462160
2.35401082	0.01462160
2.38386703	0.01462160
2.41372347	0.01462160
2.44357967	0.01470014
2.47343588	0.01462160
2.50329232	0.01470014
2.53314853	0.01470014
2.56300497	0.01470014
2.59286118	0.01462160
2.62271738	0.01470014
2.65257382	0.01470014
2.68243003	0.01470014
2.71228623	0.01470014
2.74214244	0.01462160
2.77199888	0.01470014
2.80185509	0.01462160
2.83171129	0.01462160
2.86156774	0.01446451
2.89142394	0.01430742
2.92128038	0.01430742
2.95113659	0.01415034
2.98099279	0.01391471
3.01084924	0.01367908
3.04070544	0.01360054
3.07056189	0.01344345
3.10041785	0.01328637
3.13027430	0.01320782
3.16013050	0.01305074
3.18998694	0.01289365
3.21984315	0.01273656
3.24969935	0.01273656
3.27955580	0.01257948
3.30941200	0.01242239
3.33926845	0.01234385
3.36912441	0.01226530
3.39898086	0.01210822
3.42883730	0.01187259
3.45869350	0.01187259
3.48854971	0.01171550
3.51840591	0.01147987
3.54826236	0.01132279
3.57811880	0.01116570
3.60797477	0.01108716
3.63783121	0.01100861
3.66768742	0.01085153
3.69754386	0.01077299
3.72740006	0.01069444
3.75725627	0.01053736
3.78711271	0.01053736
3.81696892	0.01038027
3.84682512	0.01030173
3.87668157	0.01030173
3.90653777	0.01022318
3.93639374	0.00998755
3.96625042	0.00998755
3.99610662	0.00983047
4.02596331	0.00967338
4.05581903	0.00959484
4.08567524	0.00959484
4.11553192	0.00959484
4.14538813	0.00959484
4.17524433	0.00935921
4.20510054	0.00935921
4.23495674	0.00935921
4.26481342	0.00935921
4.29466963	0.00943775
4.32452583	0.00959484
4.35438204	0.00959484
4.38423824	0.00959484
4.41409492	0.00967338
4.44395113	0.00990901
4.47380686	0.00990901
4.50366354	0.01006610
4.53351974	0.01022318
4.56337643	0.01030173
4.59323263	0.01038027
4.62308836	0.01053736
4.65294504	0.01069444
4.68280125	0.01077299
4.71265745	0.01100861
4.74251366	0.01108716
4.77236986	0.01116570
4.80222654	0.01132279
4.83208275	0.01140133
4.86193895	0.01140133
4.89179516	0.01147987
4.92165136	0.01155842
4.95150805	0.01155842
4.98136425	0.01155842
5.01122046	0.01155842
5.04107666	0.01147987
5.07093287	0.01140133
5.10078907	0.01132279
5.13064575	0.01116570
5.16050196	0.01100861
5.19035816	0.01085153
5.22021437	0.01069444
5.25007057	0.01045881
5.27992725	0.01038027
5.30978298	0.01014464
5.33963966	0.00998755
5.36949587	0.00990901
5.39935207	0.00951630
5.42920876	0.00935921
5.45906448	0.00928067
5.48892069	0.00912358
5.51877737	0.00880941
5.54863358	0.00865232
5.57849026	0.00849523
5.60834599	0.00825961
5.63820219	0.00818106
5.66805887	0.00794543
5.69791508	0.00786689
5.72777176	0.00778835
5.75762749	0.00770980
5.78748369	0.00763126
5.81734037	0.00755272
5.84719658	0.00763126
5.87705231	0.00763126
5.90690899	0.00763126
5.93676519	0.00763126
5.96662188	0.00778835
5.99647808	0.00778835
6.02633381	0.00786689
6.05619049	0.00794543
6.08604670	0.00794543
6.11590338	0.00802398
6.14575958	0.00802398
6.17561531	0.00802398
6.20547199	0.00802398
6.23532820	0.00802398
6.26518440	0.00802398
6.29504108	0.00802398
6.32489681	0.00802398
6.35475349	0.00794543
6.38460970	0.00794543
6.41446590	0.00786689
6.44432211	0.00778835
6.47417831	0.00763126
6.50403500	0.00755272
6.53389120	0.00747417
6.56374741	0.00723855
6.59360361	0.00708146
6.62345982	0.00684583
6.65331602	0.00661020
6.68317270	0.00645311
6.71302891	0.00606040
6.74288511	0.00582477
6.77274132	0.00551060
6.80259752	0.00519642
6.83245420	0.00488225
6.86231041	0.00448954
6.89216661	0.00425391
6.92202282	0.00370411
6.95187902	0.00346848
6.98173571	0.00299722
7.01159143	0.00268304
7.04144764	0.00244742
7.07130432	0.00205470
7.10116053	0.00174053
7.13101721	0.00150490
7.16087294	0.00126927
7.19072914	0.00079801
7.22058582	0.00056238
7.25044203	0.00016967
7.28029823	1.25791681e-5
7.31015444	-0.00030159
7.34001064	-0.00061577
7.36986732	-0.00085140
7.39972353	-0.00100848
7.42957973	-0.00124411
7.45943594	-0.00155828
7.48929214	-0.00187246
7.51914835	-0.00218663
7.54900503	-0.00242226
7.57886124	-0.00265789
7.60871696	-0.00281497
7.63857365	-0.00312915
7.66843033	-0.00328623
7.69828606	-0.00360040
7.72814226	-0.00391458
7.75799894	-0.00422875
7.78785563	-0.00430729
7.81771135	-0.00462146
7.84756756	-0.00485709
7.87742424	-0.00517127
7.90727997	-0.00548544
7.93713665	-0.00564252
7.96699333	-0.00579961
7.99684906	-0.00611378
8.02670574	-0.00627087
8.05656242	-0.00658504
8.08641720	-0.00689921
8.11627388	-0.00705630
8.14613056	-0.00721339
8.17598724	-0.00760610
8.20584297	-0.00784173
8.23569965	-0.00792027
8.26555634	-0.00815590
8.29541206	-0.00847008
8.32526875	-0.00862716
8.35512447	-0.00894134
8.38498020	-0.00909842
8.41483688	-0.00925551
8.44469357	-0.00941259
8.47454929	-0.00964822
8.50440598	-0.00972677
8.53426266	-0.00996239
8.56411934	-0.01011948
8.59397507	-0.01035511
8.62383080	-0.01043365
8.65368748	-0.01051220
8.68354321	-0.01066928
8.71339989	-0.01082637
8.74325657	-0.01082637
8.77311230	-0.01106200
