36.0057 -1.03061
36.1031 -1.73876
36.2177 -1.63482
36.3208 -0.351746
36.4296 1.5601
36.5327 2.16195
36.6416 1.0869
36.739 0.326346
36.8535 -0.119927
36.9624 -0.801964
37.0597 -1.77213
37.1686 -2.03495
37.2774 -1.14493
37.3748 0.845604
37.4951 2.36435
37.5982 1.49895
37.6956 0.528792
37.8101 0.00391655
37.9075 -0.337424
38.0221 -1.12431
38.1252 -1.8325
38.2283 -1.64987
38.3372 -0.445443
38.4288 1.44033
38.5548 2.04201
38.6579 1.25521
38.761 0.494615
38.8642 -0.134978
38.9787 -0.817058
39.0761 -1.65622
39.1849 -1.86664
39.2938 -1.21243
39.3969 0.463654
